watcher-1  | [hello] role=watcher
watcher-1  | [hello] role=watcher
watcher-1  | [hello] role=watcher
watcher-1  | [hello] role=watcher
curator-1  | [hello] role=curator
curator-1  | [hello] role=curator
curator-1  | [hello] role=curator
curator-1  | [hello] role=curator
synthesizer-1  | [hello] role=synthesizer
synthesizer-1  | [hello] role=synthesizer
synthesizer-1  | [hello] role=synthesizer
synthesizer-1  | [hello] role=synthesizer
planner-1      | [hello] role=planner
planner-1      | [hello] role=planner
planner-1      | [hello] role=planner
planner-1      | [hello] role=planner
archivist-1    | [hello] role=archivist
archivist-1    | [hello] role=archivist
archivist-1    | [hello] role=archivist
archivist-1    | [hello] role=archivist
